原始序號,狀態,類別,索引型態,索引標題,索引連結,展開方法,HTTP狀態,候選順位,候選標題,候選來源,候選發布時間,候選網址,來源元素據檔,錯誤
2,展開成功,CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption,bing_news_search,Bing News candidate collection: China blockade Taiwan energy ports communications essential services,https://www.bing.com/news/search?q=China+blockade+Taiwan+energy+ports+communications+essential+services&setlang=en-us,bing-html,200,1,Privacy,,,http://go.microsoft.com/fwlink/?LinkId=521839,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/English/#T#[CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption]/B2_011.txt,
7,展開成功,CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption,bing_news_search,Bing News candidate collection: PLA blockade Taiwan critical infrastructure ports energy cyber isolation,https://www.bing.com/news/search?q=PLA+blockade+Taiwan+critical+infrastructure+ports+energy+cyber+isolation&setlang=en-us,bing-html,200,1,Privacy,,,http://go.microsoft.com/fwlink/?LinkId=521839,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/English/#T#[CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption]/B2_012.txt,
8,展開成功,CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference,bing_news_search,Bing News candidate collection: Taiwan subsea cable Chinese vessel anchor sabotage shadow fleet,https://www.bing.com/news/search?q=Taiwan+subsea+cable+Chinese+vessel+anchor+sabotage+shadow+fleet&setlang=en-us,bing-rss,200,1,Taiwan seeks S Korean help investigating Chinese ship suspected of cutting undersea cable,,"Mon, 06 Jan 2025 02:39:00 GMT",https://www.taiwannews.com.tw/news/6007578,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/English/#T#[CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference]/B2_003.txt,
10,展開成功,CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference,bing_news_search,Bing News candidate collection: Taiwan undersea cable Shunxing 39 Hong Tai 58 gray zone,https://www.bing.com/news/search?q=Taiwan+undersea+cable+Shunxing+39+Hong+Tai+58+gray+zone&setlang=en-us,bing-rss,200,1,‘Gray zone’ tactics tough to fight,,"Mon, 20 Jan 2025 08:00:00 GMT",https://www.taipeitimes.com/News/editorials/archives/2025/01/21/2003830554,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/English/#T#[CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference]/B2_004.txt,
10,展開成功,CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference,bing_news_search,Bing News candidate collection: Taiwan undersea cable Shunxing 39 Hong Tai 58 gray zone,https://www.bing.com/news/search?q=Taiwan+undersea+cable+Shunxing+39+Hong+Tai+58+gray+zone&setlang=en-us,bing-rss,200,2,China-linked shipowner denies damaging Taiwan undersea cable,,"Wed, 08 Jan 2025 08:00:00 GMT",https://www.taipeitimes.com/News/taiwan/archives/2025/01/09/2003829920,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/English/#T#[CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference]/B2_004.txt,
17,展開成功,CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption,bing_news_search,Bing News candidate collection: PRC cyber Taiwan critical infrastructure DDoS supply chain APT,https://www.bing.com/news/search?q=PRC+cyber+Taiwan+critical+infrastructure+DDoS+supply+chain+APT&setlang=en-us,bing-html,200,1,Privacy,,,http://go.microsoft.com/fwlink/?LinkId=521839,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/English/#T#[CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption]/B2_008.txt,
21,展開成功,CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption,bing_news_search,Bing News candidate collection: China cyberattacks Taiwan critical infrastructure telecom transport energy hospitals,https://www.bing.com/news/search?q=China+cyberattacks+Taiwan+critical+infrastructure+telecom+transport+energy+hospitals&setlang=en-us,bing-rss,200,1,Chinese cyberattacks rising: NSB report,,"Sun, 04 Jan 2026 08:00:00 GMT",https://www.taipeitimes.com/News/front/archives/2026/01/05/2003850052,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/English/#T#[CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption]/B2_007.txt,
27,失敗,CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption,bing_news_search,Bing News 候選來源集合：中共 封鎖 台灣 港口 能源 通訊 關鍵基礎設施,https://www.bing.com/news/search?q=%E4%B8%AD%E5%85%B1+%E5%B0%81%E9%8E%96+%E5%8F%B0%E7%81%A3+%E6%B8%AF%E5%8F%A3+%E8%83%BD%E6%BA%90+%E9%80%9A%E8%A8%8A+%E9%97%9C%E9%8D%B5%E5%9F%BA%E7%A4%8E%E8%A8%AD%E6%96%BD&setlang=zh-tw,,,,,,,,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/中文/#T#[CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption]/B2_009.txt,bing-rss: 未解析到新的候選文章；bing-html: 未解析到新的候選文章
28,失敗,CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption,bing_news_search,Bing News 候選來源集合：共軍 要港要域封控 台灣 能源 海上運輸線,https://www.bing.com/news/search?q=%E5%85%B1%E8%BB%8D+%E8%A6%81%E6%B8%AF%E8%A6%81%E5%9F%9F%E5%B0%81%E6%8E%A7+%E5%8F%B0%E7%81%A3+%E8%83%BD%E6%BA%90+%E6%B5%B7%E4%B8%8A%E9%81%8B%E8%BC%B8%E7%B7%9A&setlang=zh-tw,,,,,,,,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/中文/#T#[CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption]/B2_010.txt,bing-rss: 未解析到新的候選文章；bing-html: 未解析到新的候選文章
33,失敗,CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference,bing_news_search,Bing News 候選來源集合：順興39 宏泰58 台灣 海纜 灰色地帶,https://www.bing.com/news/search?q=%E9%A0%86%E8%88%8839+%E5%AE%8F%E6%B3%B058+%E5%8F%B0%E7%81%A3+%E6%B5%B7%E7%BA%9C+%E7%81%B0%E8%89%B2%E5%9C%B0%E5%B8%B6&setlang=zh-tw,,,,,,,,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/中文/#T#[CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference]/B2_002.txt,bing-rss: 未解析到新的候選文章；bing-html: 未解析到新的候選文章
34,展開成功,CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference,bing_news_search,Bing News 候選來源集合：台灣 海底電纜 中資 權宜輪 拖錨 海纜 破壞,https://www.bing.com/news/search?q=%E5%8F%B0%E7%81%A3+%E6%B5%B7%E5%BA%95%E9%9B%BB%E7%BA%9C+%E4%B8%AD%E8%B3%87+%E6%AC%8A%E5%AE%9C%E8%BC%AA+%E6%8B%96%E9%8C%A8+%E6%B5%B7%E7%BA%9C+%E7%A0%B4%E5%A3%9E&setlang=zh-tw,bing-rss+bing-html,200,1,台灣海纜遭損壞 國安局：境外敵對勢力灰帶威脅新態樣,,"Wed, 15 Jan 2025 00:21:00 GMT",https://www.setn.com/news/1595159,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/中文/#T#[CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference]/B2_001.txt,
34,展開成功,CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference,bing_news_search,Bing News 候選來源集合：台灣 海底電纜 中資 權宜輪 拖錨 海纜 破壞,https://www.bing.com/news/search?q=%E5%8F%B0%E7%81%A3+%E6%B5%B7%E5%BA%95%E9%9B%BB%E7%BA%9C+%E4%B8%AD%E8%B3%87+%E6%AC%8A%E5%AE%9C%E8%BC%AA+%E6%8B%96%E9%8C%A8+%E6%B5%B7%E7%BA%9C+%E7%A0%B4%E5%A3%9E&setlang=zh-tw,bing-rss+bing-html,200,2,颱風過後又溜回來！權宜輪「永恆號」逼近台灣海纜 海巡監控中,,"Tue, 14 Jul 2026 05:28:00 GMT",https://tw.news.yahoo.com/颱風過後又溜回來-權宜輪-永恆號-逼近台灣海纜-海巡監控中-095012743.html,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/中文/#T#[CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference]/B2_001.txt,
34,展開成功,CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference,bing_news_search,Bing News 候選來源集合：台灣 海底電纜 中資 權宜輪 拖錨 海纜 破壞,https://www.bing.com/news/search?q=%E5%8F%B0%E7%81%A3+%E6%B5%B7%E5%BA%95%E9%9B%BB%E7%BA%9C+%E4%B8%AD%E8%B3%87+%E6%AC%8A%E5%AE%9C%E8%BC%AA+%E6%8B%96%E9%8C%A8+%E6%B5%B7%E7%BA%9C+%E7%A0%B4%E5%A3%9E&setlang=zh-tw,bing-rss+bing-html,200,3,BLACKPINK十週年風波燒6天！Lisa首度道歉,,"Tue, 25 Feb 2025 05:22:00 GMT",https://www.setn.com/news/1614591,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/中文/#T#[CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference]/B2_001.txt,
34,展開成功,CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference,bing_news_search,Bing News 候選來源集合：台灣 海底電纜 中資 權宜輪 拖錨 海纜 破壞,https://www.bing.com/news/search?q=%E5%8F%B0%E7%81%A3+%E6%B5%B7%E5%BA%95%E9%9B%BB%E7%BA%9C+%E4%B8%AD%E8%B3%87+%E6%AC%8A%E5%AE%9C%E8%BC%AA+%E6%8B%96%E9%8C%A8+%E6%B5%B7%E7%BA%9C+%E7%A0%B4%E5%A3%9E&setlang=zh-tw,bing-rss+bing-html,200,4,颱風過後又溜回來！ 權宜輪 「永恆號」逼近 台灣海纜 海 巡監控 中,,,https://tw.news.yahoo.com/%E9%A2%B1%E9%A2%A8%E9%81%8E%E5%BE%8C%E5%8F%88%E6%BA%9C%E5%9B%9E%E4%BE%86-%E6%AC%8A%E5%AE%9C%E8%BC%AA-%E6%B0%B8%E6%81%86%E8%99%9F-%E9%80%BC%E8%BF%91%E5%8F%B0%E7%81%A3%E6%B5%B7%E7%BA%9C-%E6%B5%B7%E5%B7%A1%E7%9B%A3%E6%8E%A7%E4%B8%AD-095012743.html,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/中文/#T#[CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference]/B2_001.txt,
