序號,類別,原文標題,網域,語言,來源型態,發布時間,原文／索引連結,索引型態,來源元素據檔
1,CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption,How China Could Blockade Taiwan,features.csis.org,English,think-tank interactive analysis,2024-08-01,https://features.csis.org/chinapower/china-blockade-taiwan/,單篇來源,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/English/#T#[CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption]/004_a5569ebf.txt
2,CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption,Bing News candidate collection: China blockade Taiwan energy ports communications essential services,bing.com,English,"public news-search index; candidate-source collection, not a single article",Unconfirmed (search collection),https://www.bing.com/news/search?q=China+blockade+Taiwan+energy+ports+communications+essential+services&setlang=en-us,bing_news_search,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/English/#T#[CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption]/B2_011.txt
3,CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption,Securing Cyber and Space: How the United States Can Disrupt China’s Blockade Plans,csis.org,English,think-tank commentary,2025-03-20,https://www.csis.org/analysis/securing-cyber-and-space-how-united-states-can-disrupt-chinas-blockade-plans,單篇來源,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/English/#T#[CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption]/002_9ab12457.txt
4,CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption,Lights Out? Wargaming a Chinese Blockade of Taiwan,csis.org,English,think-tank report,2025-07-31,https://www.csis.org/analysis/lights-out-wargaming-chinese-blockade-taiwan,單篇來源,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/English/#T#[CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption]/001_6825dd68.txt
5,CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption,Preparedness Wargaming for Critical Infrastructure Resilience: Taiwan Digital Blockade Wargame,doi.org,English,research article,2025-11-28,https://doi.org/10.55682/cdr/qgz7-pqvc,單篇來源,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/English/#T#[CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption]/005_514a2487.txt
6,CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption,How China Could Quarantine Taiwan: Mapping Out Two Possible Scenarios,csis.org,English,think-tank report,2024-06-05,https://www.csis.org/analysis/how-china-could-quarantine-taiwan-mapping-out-two-possible-scenarios,單篇來源,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/English/#T#[CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption]/003_fba77138.txt
7,CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption,Bing News candidate collection: PLA blockade Taiwan critical infrastructure ports energy cyber isolation,bing.com,English,"public news-search index; candidate-source collection, not a single article",Unconfirmed (search collection),https://www.bing.com/news/search?q=PLA+blockade+Taiwan+critical+infrastructure+ports+energy+cyber+isolation&setlang=en-us,bing_news_search,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/English/#T#[CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption]/B2_012.txt
8,CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference,Bing News candidate collection: Taiwan subsea cable Chinese vessel anchor sabotage shadow fleet,bing.com,English,"public news-search index; candidate-source collection, not a single article",Unconfirmed (search collection),https://www.bing.com/news/search?q=Taiwan+subsea+cable+Chinese+vessel+anchor+sabotage+shadow+fleet&setlang=en-us,bing_news_search,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/English/#T#[CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference]/B2_003.txt
9,CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference,Chinese vessel cut subsea cable near Taiwan: report,taipeitimes.com,English,news media,2025-01-07,https://www.taipeitimes.com/News/taiwan/archives/2025/01/07/2003829790,單篇來源,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/English/#T#[CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference]/002_57197395.txt
10,CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference,Bing News candidate collection: Taiwan undersea cable Shunxing 39 Hong Tai 58 gray zone,bing.com,English,"public news-search index; candidate-source collection, not a single article",Unconfirmed (search collection),https://www.bing.com/news/search?q=Taiwan+undersea+cable+Shunxing+39+Hong+Tai+58+gray+zone&setlang=en-us,bing_news_search,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/English/#T#[CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference]/B2_004.txt
11,CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference,Taiwan catches Chinese-owned ship in act of cutting subsea cable,ft.com,English,news media,2025-02-25,https://www.ft.com/content/eb4af880-be13-4e1d-b7f1-4a55848b7acf,單篇來源,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/English/#T#[CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference]/B1_001_4aaa641e.txt
12,CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference,Countering China’s Subsea Cable Sabotage,globaltaiwan.org,English,think-tank analysis,2025-03-01,https://globaltaiwan.org/2025/03/countering-chinas-subsea-cable-sabotage/,單篇來源,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/English/#T#[CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference]/003_eac9fd7f.txt
13,CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference,MODA Releases 2025 Submarine Cable Damage Analysis Report Highlighting Nearshore Human Interference and Offshore Natural Disaster Risks,moda.gov.tw,English,government source,2026-04-07,https://moda.gov.tw/en/press/press-releases/19392,單篇來源,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/English/#T#[CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference]/005_a231ab4e.txt
14,CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference,Strangers on a Seabed: Sino-Russian Collaboration on Undersea Cable Sabotage Operations,jamestown.org,English,think-tank analysis,2025-02-14,https://jamestown.org/strangers-on-a-seabed-sino-russian-collaboration-on-undersea-cable-sabotage-operations/,單篇來源,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/English/#T#[CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference]/004_8fd112f9.txt
15,CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference,"Undersea cable to Penghu severed, Chinese-funded ship suspected",taipeitimes.com,English,news media,2025-02-25,https://www.taipeitimes.com/News/taiwan/archives/2025/02/25/2003832488,單篇來源,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/English/#T#[CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference]/001_0f4fc8e5.txt
16,CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption,Analysis on China's Cyberattack Techniques in 2024,globalsecurity.org,English,government-report mirror,2025-01-05,https://www.globalsecurity.org/security/library/news/2025/01/sec-250105-roc-nsb01.htm,單篇來源,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/English/#T#[CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption]/003_0904fc5d.txt
17,CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption,Bing News candidate collection: PRC cyber Taiwan critical infrastructure DDoS supply chain APT,bing.com,English,"public news-search index; candidate-source collection, not a single article",Unconfirmed (search collection),https://www.bing.com/news/search?q=PRC+cyber+Taiwan+critical+infrastructure+DDoS+supply+chain+APT&setlang=en-us,bing_news_search,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/English/#T#[CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption]/B2_008.txt
18,CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption,"Chinese cyberattacks on Taiwan infrastructure averaged 2.6 million a day in 2025, report says",reuters.com,English,news media,2026-01-05,https://www.reuters.com/world/china/chinese-cyberattacks-taiwan-infrastructure-averaged-26-million-day-2025-report-2026-01-05/,單篇來源,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/English/#T#[CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption]/002_a8f8eee1.txt
