序號,狀態,來源方式,類別,原文標題,網域,原文連結,索引標題,索引連結,搜尋順位,來源元素據檔,最終網址,HTTP狀態,內容型態,擷取方法,正文字元數,輸出檔,錯誤
9,成功,direct,CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference,MODA Releases 2025 Submarine Cable Damage Analysis Report Highlighting Nearshore Human Interference and Offshore Natural Disaster Risks,moda.gov.tw,https://moda.gov.tw/en/press/press-releases/19392,,,,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/English/#T#[CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference]/005_a231ab4e.txt,https://moda.gov.tw/en/press/press-releases/19392,200,text/html; charset=utf-8,trafilatura,6055,#T#[CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference]\MODA Releases 2025 Submarine Cable Damage Analysis Report Highlighting Nearshore Human Interference and Offsho__a231ab4e.txt,
32,失敗,search_result,CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption,Privacy,go.microsoft.com,http://go.microsoft.com/fwlink/?LinkId=521839,Bing News candidate collection: China blockade Taiwan energy ports communications essential services,https://www.bing.com/news/search?q=China+blockade+Taiwan+energy+ports+communications+essential+services&setlang=en-us,1,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/English/#T#[CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption]/B2_011.txt,,,,,0,,robots.txt 不允許抓取
36,失敗,search_result,CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption,Privacy,go.microsoft.com,http://go.microsoft.com/fwlink/?LinkId=521839,Bing News candidate collection: PRC cyber Taiwan critical infrastructure DDoS supply chain APT,https://www.bing.com/news/search?q=PRC+cyber+Taiwan+critical+infrastructure+DDoS+supply+chain+APT&setlang=en-us,1,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/English/#T#[CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption]/B2_008.txt,,,,,0,,robots.txt 不允許抓取
1,成功,direct,CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption,How China Could Blockade Taiwan,features.csis.org,https://features.csis.org/chinapower/china-blockade-taiwan/,,,,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/English/#T#[CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption]/004_a5569ebf.txt,https://features.csis.org/chinapower/china-blockade-taiwan/,200,text/html,trafilatura,17601,#T#[CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption]\How China Could Blockade Taiwan.txt,
8,成功,direct,CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference,Countering China’s Subsea Cable Sabotage,globaltaiwan.org,https://globaltaiwan.org/2025/03/countering-chinas-subsea-cable-sabotage/,,,,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/English/#T#[CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference]/003_eac9fd7f.txt,https://globaltaiwan.org/2025/03/countering-chinas-subsea-cable-sabotage/,200,text/html; charset=utf-8,trafilatura,11607,#T#[CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference]\Countering China’s Subsea Cable Sabotage.txt,
41,成功,search_result,CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference,颱風過後又溜回來！ 權宜輪 「永恆號」逼近 台灣海纜 海 巡監控 中,tw.news.yahoo.com,https://tw.news.yahoo.com/%E9%A2%B1%E9%A2%A8%E9%81%8E%E5%BE%8C%E5%8F%88%E6%BA%9C%E5%9B%9E%E4%BE%86-%E6%AC%8A%E5%AE%9C%E8%BC%AA-%E6%B0%B8%E6%81%86%E8%99%9F-%E9%80%BC%E8%BF%91%E5%8F%B0%E7%81%A3%E6%B5%B7%E7%BA%9C-%E6%B5%B7%E5%B7%A1%E7%9B%A3%E6%8E%A7%E4%B8%AD-095012743.html,Bing News 候選來源集合：台灣 海底電纜 中資 權宜輪 拖錨 海纜 破壞,https://www.bing.com/news/search?q=%E5%8F%B0%E7%81%A3+%E6%B5%B7%E5%BA%95%E9%9B%BB%E7%BA%9C+%E4%B8%AD%E8%B3%87+%E6%AC%8A%E5%AE%9C%E8%BC%AA+%E6%8B%96%E9%8C%A8+%E6%B5%B7%E7%BA%9C+%E7%A0%B4%E5%A3%9E&setlang=zh-tw,4,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/中文/#T#[CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference]/B2_001.txt,https://tw.news.yahoo.com/%E9%A2%B1%E9%A2%A8%E9%81%8E%E5%BE%8C%E5%8F%88%E6%BA%9C%E5%9B%9E%E4%BE%86-%E6%AC%8A%E5%AE%9C%E8%BC%AA-%E6%B0%B8%E6%81%86%E8%99%9F-%E9%80%BC%E8%BF%91%E5%8F%B0%E7%81%A3%E6%B5%B7%E7%BA%9C-%E6%B5%B7%E5%B7%A1%E7%9B%A3%E6%8E%A7%E4%B8%AD-095012743.html,200,text/html; charset=utf-8,trafilatura,2742,#T#[CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference]\颱風過後又溜回來! 權宜輪 「永恆號」逼近 台灣海纜 海 巡監控 中.txt,
4,失敗,direct,CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption,Preparedness Wargaming for Critical Infrastructure Resilience: Taiwan Digital Blockade Wargame,doi.org,https://doi.org/10.55682/cdr/qgz7-pqvc,,,,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/English/#T#[CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption]/005_514a2487.txt,,403,,,0,,HTTPError: 403 Client Error: Forbidden for url: https://cyberdefensereview.army.mil/CDR-Content/Articles/Article-View/Article/4344305/preparedness-wargaming-for-critical-infrastructure-resilience-taiwan-digital-bl/
42,成功,search_result,CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption,國安局：中共對我關鍵基礎設施網路侵擾 每天263萬次,udn.com,https://udn.com/news/story/6656/9243637,Bing News 候選來源集合：中共 台灣 關鍵基礎設施 網攻 電信 交通 能源 醫療,https://www.bing.com/news/search?q=%E4%B8%AD%E5%85%B1+%E5%8F%B0%E7%81%A3+%E9%97%9C%E9%8D%B5%E5%9F%BA%E7%A4%8E%E8%A8%AD%E6%96%BD+%E7%B6%B2%E6%94%BB+%E9%9B%BB%E4%BF%A1+%E4%BA%A4%E9%80%9A+%E8%83%BD%E6%BA%90+%E9%86%AB%E7%99%82&setlang=zh-tw,1,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/中文/#T#[CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption]/B2_005.txt,https://udn.com/news/story/6656/9243637,200,text/html; charset=utf-8,trafilatura,1144,#T#[CN Threats To TW Critical Infrastructure-Cyber Intrusion And Network Disruption]\國安局：中共對我關鍵基礎設施網路侵擾 每天263萬次.txt,
17,成功,direct,CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption,共軍宣布29日起環台軍演　30日實彈射擊,cna.com.tw,https://www.cna.com.tw/news/acn/202512290014.aspx,,,,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/中文/#T#[CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption]/005_ea7c3d1b.txt,https://www.cna.com.tw/news/acn/202512290014.aspx,200,text/html; charset=utf-8,trafilatura,580,#T#[CN Threats To TW Critical Infrastructure-Blockade Isolation And Essential Service Disruption]\共軍宣布29日起環台軍演 30日實彈射擊.txt,
10,成功,direct,CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference,Strangers on a Seabed: Sino-Russian Collaboration on Undersea Cable Sabotage Operations,jamestown.org,https://jamestown.org/strangers-on-a-seabed-sino-russian-collaboration-on-undersea-cable-sabotage-operations/,,,,中共對臺海底電纜與關鍵基礎設施威脅_完整執行成果_20260902/訓練資料/English/#T#[CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference]/004_8fd112f9.txt,https://jamestown.org/strangers-on-a-seabed-sino-russian-collaboration-on-undersea-cable-sabotage-operations/,200,text/html; charset=utf-8,trafilatura,17839,#T#[CN Threats To TW Critical Infrastructure-Submarine Cable Damage And Maritime Interference]\Strangers on a Seabed： Sino-Russian Collaboration on Undersea Cable Sabotage Operations.txt,
