label	file	title	domain	source_type	published	url	fine_labels
2026 US-Iran War-Military Operations	2026 US-Iran War-Military Operations/001_israel-conducts-1-600-strikes-on-iran-in-4-days-of-war-weathers-irania.txt	Israel conducts 1,600 strikes on Iran in 4 days of war, weathers Iranian missile and drones	fdd.org	智庫／研究機構	4 months ago	https://www.fdd.org/analysis/2026/03/04/israel-conducts-1600-strikes-on-iran-in-4-days-of-war-weathers-iranian-missile-and-drones	2026 US-Iran War-Iranian Ballistic Missile Attacks | 2026 US-Iran War-Drone Warfare
2026 US-Iran War-Military Operations	2026 US-Iran War-Military Operations/002_us-israeli-strikes-hit-irans-missile-nuclear-political-and-repression.txt	US-Israeli strikes hit Iran’s missile, nuclear, political, and repression sites	fdd.org	智庫／研究機構	4 months ago	https://www.fdd.org/analysis/2026/03/03/us-israeli-strikes-hit-irans-missile-nuclear-political-and-repression-sites	2026 US-Iran War-Operation Epic Fury | 2026 US-Iran War-Iranian Ballistic Missile Attacks | 2026 US-Iran War-Drone Warfare
2026 US-Iran War-Military Operations	2026 US-Iran War-Military Operations/003_peace-through-strength-operation-epic-fury-crushes-iranian-threat-as-c.txt	Peace Through Strength: Operation Epic Fury Crushes Iranian Threat as Ceasefire Takes Hold – The White House	whitehouse.gov	政府／國際組織	3 months ago	https://www.whitehouse.gov/releases/2026/04/peace-through-strength-operation-epic-fury-crushes-iranian-threat-as-ceasefire-takes-hold	2026 US-Iran War-Operation Epic Fury | 2026 US-Iran War-Iranian Ballistic Missile Attacks | 2026 US-Iran War-Drone Warfare
2026 US-Iran War-Military Operations	2026 US-Iran War-Military Operations/004_israeli-strikes-eliminate-iranian-security-chief-larijani-and-basij-co.txt	Israeli strikes eliminate Iranian security chief Larijani and Basij commander Soleimani	fdd.org	智庫／研究機構	4 months ago	https://www.fdd.org/analysis/2026/03/17/israeli-strikes-eliminate-iranian-security-chief-larijani-and-basij-commander-soleimani	2026 US-Iran War-Iranian Ballistic Missile Attacks | 2026 US-Iran War-Drone Warfare | 2026 US-Iran War-Air And Missile Defense
2026 US-Iran War-Military Operations	2026 US-Iran War-Military Operations/005_us-targets-numerous-iranian-military-assets-in-first-24-hours-of-opera.txt	US targets numerous Iranian military assets in first 24 hours of ‘Operation Epic Fury’: CENTCOM	aa.com.tr	新聞媒體	4 months ago	https://www.aa.com.tr/en/americas/us-targets-numerous-iranian-military-assets-in-first-24-hours-of-operation-epic-fury-centcom/3845723	2026 US-Iran War-Operation Epic Fury | 2026 US-Iran War-Iranian Ballistic Missile Attacks | 2026 US-Iran War-Drone Warfare
2026 US-Iran War-Military Operations	2026 US-Iran War-Military Operations/006_israel-intensifies-strikes-on-repression-sites-expands-outreach-to-ira.txt	Israel intensifies strikes on repression sites, expands outreach to Iranians as regime repression deepens (March 8-10 updates)	fdd.org	智庫／研究機構	4 months ago	https://www.fdd.org/analysis/2026/03/10/israel-intensifies-strikes-on-repression-sites-expands-outreach-to-iranians-as-regime-repression-deepens-march-8-10-updates	2026 US-Iran War-Operation Epic Fury | 2026 US-Iran War-Iranian Ballistic Missile Attacks | 2026 US-Iran War-Drone Warfare
2026 US-Iran War-Military Operations	2026 US-Iran War-Military Operations/007_us-israel-war-on-iran-day-4-uae-dealt-with-186-ballistic-missiles-812.txt	US-Israel war on Iran Day 4: UAE dealt with 186 ballistic missiles, 812 Iranian drones	gulfnews.com	新聞媒體	4 months ago	https://gulfnews.com/world/mena/us-israel-war-on-iran-day-4-uae-have-dealt-with-186-ballistic-missiles-812-iranian-drones-1.500461540	2026 US-Iran War-Iranian Ballistic Missile Attacks | 2026 US-Iran War-Drone Warfare | 2026 US-Iran War-Air And Missile Defense
2026 US-Iran War-Military Operations	2026 US-Iran War-Military Operations/008_us-navy-strikes-another-iranian-catamaran-corvette-naval-news.txt	US Navy Strikes Another Iranian Catamaran Corvette - Naval News	navalnews.com	新聞媒體	4 months ago	https://www.navalnews.com/naval-news/2026/03/us-navy-strikes-irans-another-catamaran-corvette-in-gulf	2026 US-Iran War-Operation Epic Fury | 2026 US-Iran War-Iranian Ballistic Missile Attacks | 2026 US-Iran War-Drone Warfare
2026 US-Iran War-Military Operations	2026 US-Iran War-Military Operations/009_us-identifies-soldier-killed-destroying-downed-iranian-drone-in-iraq.txt	US identifies soldier killed destroying downed Iranian drone in Iraq	theguardian.com	新聞媒體	today	https://www.theguardian.com/us-news/2026/jul/21/identity-soldiers-killed-iraq-iran-war	2026 US-Iran War-Iranian Ballistic Missile Attacks | 2026 US-Iran War-Drone Warfare | 2026 US-Iran War-Air And Missile Defense
2026 US-Iran War-Military Operations	2026 US-Iran War-Military Operations/010_us-strikes-iran-s-ballistic-missile-facilities-with-b-2-stealth-bomber.txt	US strikes Iran's ballistic missile facilities with B-2 stealth bombers: CENTCOM	aa.com.tr	新聞媒體	4 months ago	https://www.aa.com.tr/en/americas/us-strikes-irans-ballistic-missile-facilities-with-b-2-stealth-bombers-centcom/3845641	2026 US-Iran War-Iranian Ballistic Missile Attacks | 2026 US-Iran War-Drone Warfare | 2026 US-Iran War-Air And Missile Defense
