label,language,filename,source_title,source_domain,source_type,publication_date,collection_date,url,quota_role,record_kind,character_count
TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging,zh,#T#[TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging]/zh_001.txt,AI晶片引爆N3應用占比衝40% 法人看好3利多點火台股供應鏈,news.cnyes.com,新聞媒體,2026-05-09,2026-07-23,https://news.cnyes.com/news/id/6451769,direct fine-grained sample,identified public source,1582
TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging,zh,#T#[TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging]/zh_002.txt,2026年AI概念股有哪些公司？還值得投資嗎？4圖表帶你看懂上中下游產業趨勢,sinotrade.com.tw,券商投資教育／市場分析,2026-06-11,2026-07-23,https://www.sinotrade.com.tw/richclub/hotstock/2026%E5%B9%B4AI%E6%A6%82%E5%BF%B5%E8%82%A1%E6%9C%89%E5%93%AA%E4%BA%9B%E5%85%AC%E5%8F%B8-%E9%82%84%E5%80%BC%E5%BE%97%E6%8A%95%E8%B3%87%E5%97%8E-4%E5%9C%96%E8%A1%A8%E5%B8%B6%E4%BD%A0%E7%9C%8B%E6%87%82%E4%B8%8A%E4%B8%AD%E4%B8%8B%E6%B8%B8%E7%94%A2%E6%A5%AD%E8%B6%A8%E5%8B%A2--65af4cb1880d9e29902a677f,direct fine-grained sample,identified public source,1903
TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging,zh,#T#[TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging]/zh_003.txt,高盛點名「2026 台股名單」！25檔AI與半導體股全線點火,pocket.tw,市場分析媒體,2026-01-09,2026-07-23,https://www.pocket.tw/school/report/perspective/6959/,direct fine-grained sample,identified public source,1600
TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging,zh,#T#[TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging]/zh_004.txt,公開新聞索引：創意 Global Unichip｜月營收與訂單能見度｜AI半導體、晶片設計與先進封裝股,bing.com,公開新聞搜尋索引,2024–2026 候選結果,2026-07-23,https://www.bing.com/news/search?q=%E5%89%B5%E6%84%8F+Global+Unichip+%E6%9C%88%E7%87%9F%E6%94%B6%E8%88%87%E8%A8%82%E5%96%AE%E8%83%BD%E8%A6%8B%E5%BA%A6+%E5%8F%B0%E8%82%A1+AI+%E7%A7%91%E6%8A%80%E8%82%A1+%E8%B5%B0%E5%8B%A2+%E6%96%B0%E8%81%9E+%E6%B3%95%E4%BA%BA+2024+2025+2026&setlang=zh-tw&FORM=HDRSC6,direct fine-grained sample,public news-search index,1941
TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging,zh,#T#[TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging]/zh_005.txt,公開新聞索引：世芯-KY Alchip｜月營收與訂單能見度｜AI半導體、晶片設計與先進封裝股,bing.com,公開新聞搜尋索引,2024–2026 候選結果,2026-07-23,https://www.bing.com/news/search?q=%E4%B8%96%E8%8A%AF-KY+Alchip+%E6%9C%88%E7%87%9F%E6%94%B6%E8%88%87%E8%A8%82%E5%96%AE%E8%83%BD%E8%A6%8B%E5%BA%A6+%E5%8F%B0%E8%82%A1+AI+%E7%A7%91%E6%8A%80%E8%82%A1+%E8%B5%B0%E5%8B%A2+%E6%96%B0%E8%81%9E+%E6%B3%95%E4%BA%BA+2024+2025+2026&setlang=zh-tw&FORM=HDRSC6,direct fine-grained sample,public news-search index,1924
TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging,zh,#T#[TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging]/zh_006.txt,公開新聞索引：力旺 eMemory｜月營收與訂單能見度｜AI半導體、晶片設計與先進封裝股,bing.com,公開新聞搜尋索引,2024–2026 候選結果,2026-07-23,https://www.bing.com/news/search?q=%E5%8A%9B%E6%97%BA+eMemory+%E6%9C%88%E7%87%9F%E6%94%B6%E8%88%87%E8%A8%82%E5%96%AE%E8%83%BD%E8%A6%8B%E5%BA%A6+%E5%8F%B0%E8%82%A1+AI+%E7%A7%91%E6%8A%80%E8%82%A1+%E8%B5%B0%E5%8B%A2+%E6%96%B0%E8%81%9E+%E6%B3%95%E4%BA%BA+2024+2025+2026&setlang=zh-tw&FORM=HDRSC6,direct fine-grained sample,public news-search index,1916
TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging,zh,#T#[TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging]/zh_007.txt,公開新聞索引：智原 Faraday｜月營收與訂單能見度｜AI半導體、晶片設計與先進封裝股,bing.com,公開新聞搜尋索引,2024–2026 候選結果,2026-07-23,https://www.bing.com/news/search?q=%E6%99%BA%E5%8E%9F+Faraday+%E6%9C%88%E7%87%9F%E6%94%B6%E8%88%87%E8%A8%82%E5%96%AE%E8%83%BD%E8%A6%8B%E5%BA%A6+%E5%8F%B0%E8%82%A1+AI+%E7%A7%91%E6%8A%80%E8%82%A1+%E8%B5%B0%E5%8B%A2+%E6%96%B0%E8%81%9E+%E6%B3%95%E4%BA%BA+2024+2025+2026&setlang=zh-tw&FORM=HDRSC6,direct fine-grained sample,public news-search index,1919
TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging,zh,#T#[TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging]/zh_008.txt,公開新聞索引：M31｜月營收與訂單能見度｜AI半導體、晶片設計與先進封裝股,bing.com,公開新聞搜尋索引,2024–2026 候選結果,2026-07-23,https://www.bing.com/news/search?q=M31+%E6%9C%88%E7%87%9F%E6%94%B6%E8%88%87%E8%A8%82%E5%96%AE%E8%83%BD%E8%A6%8B%E5%BA%A6+%E5%8F%B0%E8%82%A1+AI+%E7%A7%91%E6%8A%80%E8%82%A1+%E8%B5%B0%E5%8B%A2+%E6%96%B0%E8%81%9E+%E6%B3%95%E4%BA%BA+2024+2025+2026&setlang=zh-tw&FORM=HDRSC6,direct fine-grained sample,public news-search index,1872
TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging,zh,#T#[TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging]/zh_009.txt,公開新聞索引：晶心科 Andes Technology｜月營收與訂單能見度｜AI半導體、晶片設計與先進封裝股,bing.com,公開新聞搜尋索引,2024–2026 候選結果,2026-07-23,https://www.bing.com/news/search?q=%E6%99%B6%E5%BF%83%E7%A7%91+Andes+Technology+%E6%9C%88%E7%87%9F%E6%94%B6%E8%88%87%E8%A8%82%E5%96%AE%E8%83%BD%E8%A6%8B%E5%BA%A6+%E5%8F%B0%E8%82%A1+AI+%E7%A7%91%E6%8A%80%E8%82%A1+%E8%B5%B0%E5%8B%A2+%E6%96%B0%E8%81%9E+%E6%B3%95%E4%BA%BA+2024+2025+2026&setlang=zh-tw&FORM=HDRSC6,direct fine-grained sample,public news-search index,1964
TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging,zh,#T#[TW AI Technology Stock Trend-AI Semiconductor And Advanced Packaging]/zh_010.txt,公開新聞索引：京元電子 King Yuan Electronics｜月營收與訂單能見度｜AI半導體、晶片設計與先進封裝股,bing.com,公開新聞搜尋索引,2024–2026 候選結果,2026-07-23,https://www.bing.com/news/search?q=%E4%BA%AC%E5%85%83%E9%9B%BB%E5%AD%90+King+Yuan+Electronics+%E6%9C%88%E7%87%9F%E6%94%B6%E8%88%87%E8%A8%82%E5%96%AE%E8%83%BD%E8%A6%8B%E5%BA%A6+%E5%8F%B0%E8%82%A1+AI+%E7%A7%91%E6%8A%80%E8%82%A1+%E8%B5%B0%E5%8B%A2+%E6%96%B0%E8%81%9E+%E6%B3%95%E4%BA%BA+2024+2025+2026&setlang=zh-tw&FORM=HDRSC6,direct fine-grained sample,public news-search index,1994
